serie,Survey,Habitat,Exposure,Site,Zone,Sampler,Date,Transect,Station-replicate,Depth,Pseudoreplicate,Species,Abundance,Width,Stipes,High 1,High 2,Mean High,Length,Frondosity,comentario,Data_Entry,Num_parches
498,1,coral,exposed,Frente Hotel,shallow,Catalina,17-05-16,2,3,"?-6,5",1,Porites lobata,1,20,na,15,,15,35,na,,,
499,1,coral,exposed,Frente Hotel,shallow,Catalina,17-05-16,2,3,"?-6,5",1,Pocillopora spp.,1,20,na,30,,30,15,na,,,
500,1,coral,exposed,Frente Hotel,shallow,Catalina,17-05-16,2,3,"?-6,5",2,Rock,1,200,na,150,,150,,na,,,
501,1,coral,exposed,Frente Hotel,shallow,Catalina,17-05-16,2,3,"?-6,5",2,Rock,1,30,na,43,,43,45,na,,,
502,1,coral,exposed,Frente Hotel,shallow,Catalina,17-05-16,2,4,"?-6,5",1,Rock,1,150,na,70,,70,,na,,,
503,1,coral,exposed,Frente Hotel,shallow,Catalina,17-05-16,2,4,"?-6,5",2,Rock,1,50,na,100,,100,,na,,,
504,1,coral,exposed,Frente Hotel,shallow,Catalina,17-05-16,3,1,"6,0-7,0",1,Porites lobata,1,25,na,25,,25,20,na,,,
505,1,coral,exposed,Frente Hotel,shallow,Catalina,17-05-16,3,1,"6,0-7,0",1,Porites lobata,1,20,na,17,,17,20,na,,,
506,1,coral,exposed,Frente Hotel,shallow,Catalina,17-05-16,3,1,"6,0-7,0",1,Pocillopora spp.,1,30,na,12,,12,15,na,,,
507,1,coral,exposed,Frente Hotel,shallow,Catalina,17-05-16,3,1,"6,0-7,0",1,Pocillopora spp.,1,20,na,15,,15,15,na,,,
508,1,coral,exposed,Frente Hotel,shallow,Catalina,17-05-16,3,1,"6,0-7,0",2,Porites lobata,1,40,na,45,,45,30,na,,,
509,1,coral,exposed,Frente Hotel,shallow,Catalina,17-05-16,3,1,"6,0-7,0",2,Pocillopora spp.,1,18,na,25,,25,,na,,,
510,1,coral,exposed,Frente Hotel,shallow,Catalina,17-05-16,3,2,"6,0-7,0",1,Porites lobata,1,36,na,40,,40,43,na,,,
511,1,coral,exposed,Frente Hotel,shallow,Catalina,17-05-16,3,2,"6,0-7,0",1,Pocillopora spp.,1,20,na,20,,20,10,na,,,
512,1,coral,exposed,Frente Hotel,shallow,Catalina,17-05-16,3,2,"6,0-7,0",2,Rock,1,100,na,70,,70,,na,,,
513,1,coral,exposed,Frente Hotel,shallow,Catalina,17-05-16,3,2,"6,0-7,0",2,Pocillopora spp.,1,20,na,20,,20,,na,,,
514,1,coral,exposed,Frente Hotel,shallow,Catalina,17-05-16,3,2,"6,0-7,0",2,Pocillopora spp.,1,20,na,20,,20,,na,,,
515,1,coral,exposed,Frente Hotel,shallow,Catalina,17-05-16,3,2,"6,0-7,0",2,Pocillopora spp.,1,20,na,20,,20,,na,,,
516,1,coral,exposed,Frente Hotel,shallow,Catalina,17-05-16,3,3,"6,0-7,0",1,Rock,1,100,na,100,,100,,na,,,
517,1,coral,exposed,Frente Hotel,shallow,Catalina,17-05-16,3,3,"6,0-7,0",2,no coral,0,0,na,0,0,0,0,na,,,
518,1,coral,exposed,Frente Hotel,shallow,Catalina,17-05-16,3,4,"6,0-7,0",1,Rock,1,100,na,30,,30,40,na,,,
519,1,coral,exposed,Frente Hotel,shallow,Catalina,17-05-16,3,4,"6,0-7,0",2,Rock,1,50 cm,na,100,,100,,na,,,
520,1,coral,exposed,Motu Tautara,deep,Catalina,17-05-16,1,1,"15,8-12,5",1,Porites lobata,1,50,na,30,,30,50,na,,,
521,1,coral,exposed,Motu Tautara,deep,Catalina,17-05-16,1,1,"15,8-12,5",1,Porites lobata,1,18,na,20,25,22.5,,na,,,
522,1,coral,exposed,Motu Tautara,deep,Catalina,17-05-16,1,1,"15,8-12,5",1,Porites lobata,1,25,na,12,20,16,,na,,,
523,1,coral,exposed,Motu Tautara,deep,Catalina,17-05-16,1,1,"15,8-12,5",1,Porites lobata,1,20,na,12,10,11,10,na,,,
524,1,coral,exposed,Motu Tautara,deep,Catalina,17-05-16,1,1,"15,8-12,5",1,Pocillopora spp.,1,15,na,10,,10,10,na,,,
525,1,coral,exposed,Motu Tautara,deep,Catalina,17-05-16,1,1,"15,8-12,5",1,Pocillopora spp.,1,20,na,15,,15,18,na,,,
526,1,coral,exposed,Motu Tautara,deep,Catalina,17-05-16,1,1,"15,8-12,5",1,Pocillopora spp.,1,20,na,12,,12,12,na,,,
527,1,coral,exposed,Motu Tautara,deep,Catalina,17-05-16,1,1,"15,8-12,5",1,Pocillopora spp.,1,20,na,15,,15,10,na,,,
528,1,coral,exposed,Motu Tautara,deep,Catalina,17-05-16,1,1,"15,8-12,5",2,Porites lobata,1,25,na,30,22,26,,na,,,
529,1,coral,exposed,Motu Tautara,deep,Catalina,17-05-16,1,1,"15,8-12,5",2,Porites lobata,1,17,na,10,14,12,,na,,,
530,1,coral,exposed,Motu Tautara,deep,Catalina,17-05-16,1,1,"15,8-12,5",2,Pocillopora spp.,1,20,na,26,,26,30,na,,,
531,1,coral,exposed,Motu Tautara,deep,Catalina,17-05-16,1,1,"15,8-12,5",2,Pocillopora spp.,1,17,na,12,,12,15,na,,,
532,1,coral,exposed,Motu Tautara,deep,Catalina,17-05-16,1,2,"15,8-12,5",1,Porites lobata,1,20,na,29,,29,10,na,,,
533,1,coral,exposed,Motu Tautara,deep,Catalina,17-05-16,1,2,"15,8-12,5",1,Pocillopora spp.,1,10,na,10,,10,12,na,Muerto,,
534,1,coral,exposed,Motu Tautara,deep,Catalina,17-05-16,1,2,"15,8-12,5",1,Pocillopora spp.,1,20,na,20,,20,14,na,Muerto,,
535,1,coral,exposed,Motu Tautara,deep,Catalina,17-05-16,1,2,"15,8-12,5",1,Pocillopora spp.,1,25,na,20,,20,20,na,,,
536,1,coral,exposed,Motu Tautara,deep,Catalina,17-05-16,1,2,"15,8-12,5",1,Porites lobata,1,20,na,13,,13,13,na,Muerto,,
537,1,coral,exposed,Motu Tautara,deep,Catalina,17-05-16,1,2,"15,8-12,5",2,Porites lobata,1,30,na,35,,35,35,na,,,
538,1,coral,exposed,Motu Tautara,deep,Catalina,17-05-16,1,2,"15,8-12,5",2,Porites lobata,1,30,na,30,,30,23,na,,,
539,1,coral,exposed,Motu Tautara,deep,Catalina,17-05-16,1,2,"15,8-12,5",2,Porites lobata,1,30,na,30,,30,40,na,,,
540,1,coral,exposed,Motu Tautara,deep,Catalina,17-05-16,1,3,"15,8-12,5",1,Porites lobata,1,27,na,35,23,29,,na,,,
541,1,coral,exposed,Motu Tautara,deep,Catalina,17-05-16,1,3,"15,8-12,5",1,Porites lobata,1,15,na,26,17,21.5,,na,,,
542,1,coral,exposed,Motu Tautara,deep,Catalina,17-05-16,1,3,"15,8-12,5",1,Porites lobata,1,15,na,20,20,20,,na,,,
543,1,coral,exposed,Motu Tautara,deep,Catalina,17-05-16,1,3,"15,8-12,5",1,Porites lobata,1,13,na,20,12,16,,na,,,
544,1,coral,exposed,Motu Tautara,deep,Catalina,17-05-16,1,3,"15,8-12,5",1,Porites lobata,1,30,na,16,17,16.5,20,na,,,
545,1,coral,exposed,Motu Tautara,deep,Catalina,17-05-16,1,3,"15,8-12,5",1,Pocillopora spp.,1,20,na,25,,25,17,na,,,
546,1,coral,exposed,Motu Tautara,deep,Catalina,17-05-16,1,3,"15,8-12,5",1,Pocillopora spp.,1,20,na,10,,10,15,na,,,
547,1,coral,exposed,Motu Tautara,deep,Catalina,17-05-16,1,3,"15,8-12,5",2,Porites lobata,1,20,na,30,,30,20,na,,,
548,1,coral,exposed,Motu Tautara,deep,Catalina,17-05-16,1,3,"15,8-12,5",2,Porites lobata,1,15,na,20,,20,10,na,,,
549,1,coral,exposed,Motu Tautara,deep,Catalina,17-05-16,1,3,"15,8-12,5",2,Pocillopora spp.,1,25,na,15,,15,18,na,,,
550,1,coral,exposed,Motu Tautara,deep,Catalina,17-05-16,1,3,"15,8-12,5",2,Pocillopora spp.,1,25,na,20,,20,18,na,,,
551,1,coral,exposed,Motu Tautara,deep,Catalina,17-05-16,1,3,"15,8-12,5",2,Porites lobata,1,20,na,15,,15,10,na,,,
552,1,coral,exposed,Motu Tautara,deep,Catalina,17-05-16,1,4,"15,8-12,5",1,Porites lobata,1,30,na,47,,47,20,na,,,
553,1,coral,exposed,Motu Tautara,deep,Catalina,17-05-16,1,4,"15,8-12,5",1,Porites lobata,1,15,na,20,,20,15,na,,,
554,1,coral,exposed,Motu Tautara,deep,Catalina,17-05-16,1,4,"15,8-12,5",1,Porites lobata,1,25,na,20,,20,50,na,,,
555,1,coral,exposed,Motu Tautara,deep,Catalina,17-05-16,1,4,"15,8-12,5",2,Porites lobata,1,40,na,30,,30,30,na,,,
556,1,coral,exposed,Motu Tautara,deep,Catalina,17-05-16,1,4,"15,8-12,5",2,Porites lobata,1,20,na,50,,50,15,na,,,
557,1,coral,exposed,Motu Tautara,deep,Catalina,17-05-16,1,4,"15,8-12,5",2,Porites lobata,1,30,na,40,,40,45,na,,,
558,1,coral,exposed,Motu Tautara,deep,Catalina,17-05-16,2,1,"18,5-16,0",1,Porites lobata,1,30,na,15,,15,15,na,,,
559,1,coral,exposed,Motu Tautara,deep,Catalina,17-05-16,2,1,"18,5-16,0",1,Porites lobata,1,25,na,20,,20,,na,,,
560,1,coral,exposed,Motu Tautara,deep,Catalina,17-05-16,2,1,"18,5-16,0",1,Pocillopora spp.,1,20,na,12,,12,12,na,,,
561,1,coral,exposed,Motu Tautara,deep,Catalina,17-05-16,2,1,"18,5-16,0",1,Pocillopora spp.,1,8,na,5,,5,,na,,,
562,1,coral,exposed,Motu Tautara,deep,Catalina,17-05-16,2,1,"18,5-16,0",1,Pocillopora spp.,1,15,na,10,,10,,na,,,
563,1,coral,exposed,Motu Tautara,deep,Catalina,17-05-16,2,1,"18,5-16,0",1,Pocillopora spp.,1,25,na,15,,15,15,na,Muerto,,
564,1,coral,exposed,Motu Tautara,deep,Catalina,17-05-16,2,1,"18,5-16,0",1,Porites lobata,1,30,na,30,,30,25,na,,,
565,1,coral,exposed,Motu Tautara,deep,Catalina,17-05-16,2,1,"18,5-16,0",1,Porites lobata,1,25,na,25,,25,15,na,,,
566,1,coral,exposed,Motu Tautara,deep,Catalina,17-05-16,2,1,"18,5-16,0",2,Porites lobata,1,40,na,50,,50,30,na,,,
567,1,coral,exposed,Motu Tautara,deep,Catalina,17-05-16,2,1,"18,5-16,0",2,Porites lobata,1,20,na,15,,15,15,na,,,
568,1,coral,exposed,Motu Tautara,deep,Catalina,17-05-16,2,1,"18,5-16,0",2,Porites lobata,1,20,na,40,,40,35,na,,,
569,1,coral,exposed,Motu Tautara,deep,Catalina,17-05-16,2,2,"18,5-16,0",1,Porites lobata,1,30,na,50,,50,35,na,,,
570,1,coral,exposed,Motu Tautara,deep,Catalina,17-05-16,2,2,"18,5-16,0",1,Porites lobata,1,20,na,30,,30,20,na,,,
571,1,coral,exposed,Motu Tautara,deep,Catalina,17-05-16,2,2,"18,5-16,0",1,Porites lobata,1,40,na,40,,40,50,na,,,
572,1,coral,exposed,Motu Tautara,deep,Catalina,17-05-16,2,2,"18,5-16,0",1,Pocillopora spp.,1,20,na,20,,20,,na,,,
573,1,coral,exposed,Motu Tautara,deep,Catalina,17-05-16,2,2,"18,5-16,0",2,Porites lobata,1,35,na,40,30,35,40,na,,,
574,1,coral,exposed,Motu Tautara,deep,Catalina,17-05-16,2,2,"18,5-16,0",2,Porites lobata,1,10,na,10,,10,,na,,,
575,1,coral,exposed,Motu Tautara,deep,Catalina,17-05-16,2,2,"18,5-16,0",2,Pocillopora spp.,1,20,na,20,,20,20,na,,,
576,1,coral,exposed,Motu Tautara,deep,Catalina,17-05-16,2,2,"18,5-16,0",2,Porites lobata,1,20,na,30,,30,25,na,,,
577,1,coral,exposed,Motu Tautara,deep,Catalina,17-05-16,2,2,"18,5-16,0",2,Porites lobata,1,25,na,35,,35,,na,,,
578,1,coral,exposed,Motu Tautara,deep,Catalina,17-05-16,2,3,"18,5-16,0",1,Porites lobata,1,50,na,40,,40,30,na,,,
579,1,coral,exposed,Motu Tautara,deep,Catalina,17-05-16,2,3,"18,5-16,0",1,Pocillopora spp.,1,25,na,25,,25,15,na,,,
580,1,coral,exposed,Motu Tautara,deep,Catalina,17-05-16,2,3,"18,5-16,0",2,Pocillopora spp.,1,15,na,20,,20,15,na,,,
581,1,coral,exposed,Motu Tautara,deep,Catalina,17-05-16,2,3,"18,5-16,0",2,Porites lobata,1,30,na,35,,35,50,na,,,
582,1,coral,exposed,Motu Tautara,deep,Catalina,17-05-16,2,3,"18,5-16,0",2,Pocillopora spp.,1,20,na,15,,15,12,na,,,
583,1,coral,exposed,Motu Tautara,deep,Catalina,17-05-16,2,4,"18,5-16,0",1,Porites lobata,1,50,na,50,,50,,na,,,
584,1,coral,exposed,Motu Tautara,deep,Catalina,17-05-16,2,4,"18,5-16,0",1,Porites lobata,1,30,na,45,,45,,na,,,
585,1,coral,exposed,Motu Tautara,deep,Catalina,17-05-16,2,4,"18,5-16,0",1,Porites lobata,1,30,na,45,,45,,na,,,
586,1,coral,exposed,Motu Tautara,deep,Catalina,17-05-16,2,4,"18,5-16,0",2,Porites lobata,1,,na,50,,50,,na,,,
587,1,coral,exposed,Motu Tautara,deep,Catalina,17-05-16,2,4,"18,5-16,0",2,Porites lobata,1,,na,50,,50,,na,,,
588,1,coral,exposed,Motu Tautara,deep,Catalina,17-05-16,2,4,"18,5-16,0",2,Porites lobata,1,,na,50,,50,,na,,,
589,1,coral,exposed,Motu Tautara,deep,Catalina,17-05-16,2,4,"18,5-16,0",2,Porites lobata,1,,na,50,,50,,na,,,
590,1,coral,exposed,Motu Tautara,deep,Catalina,17-05-16,3,1,"14,7-14,4",1,Porites lobata,1,50,na,60,,60,40,na,,,
591,1,coral,exposed,Motu Tautara,deep,Catalina,17-05-16,3,1,"14,7-14,4",1,Porites lobata,1,20,na,50,,50,25,na,,,
592,1,coral,exposed,Motu Tautara,deep,Catalina,17-05-16,3,1,"14,7-14,4",1,Pocillopora spp.,1,25,na,10,,10,20,na,,,
593,1,coral,exposed,Motu Tautara,deep,Catalina,17-05-16,3,1,"14,7-14,4",2,Porites lobata,1,30,na,85,,85,45,na,,,
594,1,coral,exposed,Motu Tautara,deep,Catalina,17-05-16,3,1,"14,7-14,4",2,Pocillopora spp.,1,15,na,15,,15,10,na,,,
595,1,coral,exposed,Motu Tautara,deep,Catalina,17-05-16,3,1,"14,7-14,4",2,Porites lobata,1,25,na,27,,27,23,na,,,
596,1,coral,exposed,Motu Tautara,deep,Catalina,17-05-16,3,1,"14,7-14,4",2,Porites lobata,1,25,na,30,,30,30,na,,,
597,1,coral,exposed,Motu Tautara,deep,Catalina,17-05-16,3,2,"14,7-14,4",1,Porites lobata,1,60,na,80,,80,60,na,,,
598,1,coral,exposed,Motu Tautara,deep,Catalina,17-05-16,3,2,"14,7-14,4",2,Porites lobata,1,130,na,45,,45,70,na,,,
599,1,coral,exposed,Motu Tautara,deep,Catalina,17-05-16,3,3,"14,7-14,4",1,Porites lobata,1,40,na,30,,30,30,na,,,
600,1,coral,exposed,Motu Tautara,deep,Catalina,17-05-16,3,3,"14,7-14,4",1,Porites lobata,1,35,na,30,,30,35,na,,,
601,1,coral,exposed,Motu Tautara,deep,Catalina,17-05-16,3,3,"14,7-14,4",2,Porites lobata,1,72,na,78,,78,40,na,,,
602,1,coral,exposed,Motu Tautara,deep,Catalina,17-05-16,3,3,"14,7-14,4",2,Porites lobata,1,70,na,70,,70,70,na,,,
603,1,coral,exposed,Motu Tautara,deep,Catalina,17-05-16,3,4,"14,7-14,4",1,Porites lobata,1,180,na,70,,70,130,na,,,
604,1,coral,exposed,Motu Tautara,deep,Catalina,17-05-16,3,4,"14,7-14,4",1,Pocillopora spp.,1,18,na,20,,20,12,na,,,
605,1,coral,exposed,Motu Tautara,deep,Catalina,17-05-16,3,4,"14,7-14,4",1,Pocillopora spp.,1,10,na,10,,10,10,na,,,
606,1,coral,exposed,Motu Tautara,deep,Catalina,17-05-16,3,4,"14,7-14,4",2,Porites lobata,1,50,na,35,,35,37,na,,,
607,1,coral,exposed,Motu Tautara,deep,Catalina,17-05-16,3,4,"14,7-14,4",2,Porites lobata,1,47,na,42,,42,30,na,,,
608,1,coral,exposed,Motu Tautara,deep,Catalina,17-05-16,3,4,"14,7-14,4",2,Porites lobata,1,15,na,27,,27,6,na,,,
609,1,coral,exposed,Motu Tautara,deep,Catalina,17-05-16,3,4,"14,7-14,4",2,Pocillopora spp.,1,15,na,12,,12,10,na,,,
610,1,foliose,exposed,El Frances,deep,Catalina,06-11-16,1,1,14-16,1,Rock,na,,na,70,,70,na,1,,,
611,1,foliose,exposed,El Frances,deep,Catalina,06-11-16,1,1,14-16,2,Dictyota phlyctaenodes,na,,na,25,,25,na,5,,,
612,1,foliose,exposed,El Frances,deep,Catalina,06-11-16,1,2,14-16,1,Dictyota phlyctaenodes,na,,na,30,,30,na,5,,,
613,1,foliose,exposed,El Frances,deep,Catalina,06-11-16,1,2,14-16,2,Crustose algae,na,,na,0,,0,na,0,,,
614,1,foliose,exposed,El Frances,deep,Catalina,06-11-16,1,3,14-16,1,Colpomenia sinuosa,na,,na,8,,8,na,1,,,
615,1,foliose,exposed,El Frances,deep,Catalina,06-11-16,1,3,14-16,1,Padina fernandeziana,na,,na,10,,10,na,,,,
616,1,foliose,exposed,El Frances,deep,Catalina,06-11-16,1,3,14-16,2,Padina fernandeziana,na,,na,6,,6,na,1,,,
617,1,foliose,exposed,El Frances,deep,Catalina,06-11-16,1,3,14-16,2,Colpomenia sinuosa,na,,na,6,,6,na,1,,,
618,1,foliose,exposed,El Frances,deep,Catalina,06-11-16,1,3,14-16,2,Dictyota phlyctaenodes,na,,na,20,,20,na,4,,,
619,1,foliose,exposed,El Frances,deep,Catalina,06-11-16,1,4,14-16,1,Colpomenia sinuosa,na,,na,5,,5,na,1,,,
620,1,foliose,exposed,El Frances,deep,Catalina,06-11-16,1,4,14-16,2,Padina fernandeziana,na,,na,5,,5,na,2,,,
621,1,foliose,exposed,El Frances,deep,Catalina,06-11-16,1,4,14-16,2,Padina fernandeziana,na,,na,0,,0,na,,,,
622,1,foliose,exposed,El Frances,deep,Catalina,06-11-16,2,1,"15,3-15,5",1,Dictyota phlyctaenodes,na,,na,20,,20,na,4,,,
623,1,foliose,exposed,El Frances,deep,Catalina,06-11-16,2,1,"15,3-15,5",2,Dictyota phlyctaenodes,na,,na,15,,15,na,4,,,
624,1,foliose,exposed,El Frances,deep,Catalina,06-11-16,2,2,"15,3-15,5",1,Padina fernandeziana,na,,na,5,,5,na,,,,
625,1,foliose,exposed,El Frances,deep,Catalina,06-11-16,2,2,"15,3-15,5",1,Indeterminated,na,,na,0,,0,na,,,,
626,1,foliose,exposed,El Frances,deep,Catalina,06-11-16,2,2,"15,3-15,5",2,Dictyota phlyctaenodes,na,,na,15,,15,na,1,,,
627,1,foliose,exposed,El Frances,deep,Catalina,06-11-16,2,3,"15,3-15,5",1,Dictyota phlyctaenodes,na,,na,25,,25,na,5,,,
628,1,foliose,exposed,El Frances,deep,Catalina,06-11-16,2,3,"15,3-15,5",2,Distromium skottsbergii,na,,na,0,,0,na,1,,,
629,1,foliose,exposed,El Frances,deep,Catalina,06-11-16,2,4,"15,3-15,5",1,Dictyota phlyctaenodes,na,,na,20,,20,na,5,,,
630,1,foliose,exposed,El Frances,deep,Catalina,06-11-16,2,4,"15,3-15,5",2,Colpomenia sinuosa,na,,na,5,,5,na,1,,,
631,1,foliose,exposed,El Frances,deep,Catalina,06-11-16,3,1,,1,Dictyota phlyctaenodes,na,,na,15,,15,na,3,,,
632,1,foliose,exposed,El Frances,deep,Catalina,06-11-16,3,1,,2,Padina fernandeziana,na,,na,10,,10,na,3,,,
633,1,foliose,exposed,El Frances,deep,Catalina,06-11-16,3,1,,2,Dictyota phlyctaenodes,na,,na,10,,10,na,3,,,
634,1,foliose,exposed,El Frances,deep,Catalina,06-11-16,3,2,,1,Dictyota phlyctaenodes,na,,na,20,,20,na,1,,,
635,1,foliose,exposed,El Frances,deep,Catalina,06-11-16,3,2,,2,Dictyota phlyctaenodes,na,,na,10,,10,na,1,,,
636,1,foliose,exposed,El Frances,deep,Catalina,06-11-16,3,2,,2,Padina fernandeziana,na,,na,5,,5,na,2,,,
637,1,foliose,exposed,El Frances,deep,Catalina,06-11-16,3,3,,1,Dictyota phlyctaenodes,na,,na,20,,20,na,3,,,
638,1,foliose,exposed,El Frances,deep,Catalina,06-11-16,3,3,,1,Padina fernandeziana,na,,na,20,,20,na,,,,
639,1,foliose,exposed,El Frances,deep,Catalina,06-11-16,3,3,,2,Dictyota phlyctaenodes,na,,na,15,,15,na,,,,
640,1,foliose,exposed,El Frances,deep,Catalina,06-11-16,3,3,,2,Padina fernandeziana,na,,na,5,,5,na,,,,
641,1,foliose,exposed,El Frances,deep,Catalina,06-11-16,3,4,,1,Dictyota phlyctaenodes,na,,na,30,,30,na,5,,,
642,1,foliose,exposed,El Frances,deep,Catalina,06-11-16,3,4,,2,Colpomenia sinuosa,na,,na,5,,5,na,1,,,
643,1,foliose,exposed,El Frances,deep,Catalina,06-11-16,3,4,,2,Padina fernandeziana,na,,na,5,,5,na,,,,
644,1,foliose,exposed,El Frances,shallow,Catalina,06-11-16,1,1,"5,3-5,8",1,Dictyota phlyctaenodes,na,,na,10,,10,na,2,,,
645,1,foliose,exposed,El Frances,shallow,Catalina,06-11-16,1,1,"5,3-5,8",1,Padina fernandeziana,na,,na,10,,10,na,,,,
646,1,foliose,exposed,El Frances,shallow,Catalina,06-11-16,1,1,"5,3-5,8",2,Distromium skottsbergii,na,,na,1,,1,na,2,,,
647,1,foliose,exposed,El Frances,shallow,Catalina,06-11-16,1,1,"5,3-5,8",2,Colpomenia sinuosa,na,,na,5,,5,na,,,,
648,1,foliose,exposed,El Frances,shallow,Catalina,06-11-16,1,1,"5,3-5,8",2,Haliptilon sp.,na,,na,5,,5,na,,,,
649,1,foliose,exposed,El Frances,shallow,Catalina,06-11-16,1,2,"5,3-5,8",1,Colpomenia sinuosa,na,,na,3,,3,na,1,,,
650,1,foliose,exposed,El Frances,shallow,Catalina,06-11-16,1,2,"5,3-5,8",2,Dictyota phlyctaenodes,na,,na,10,,10,na,2,,,
651,1,foliose,exposed,El Frances,shallow,Catalina,06-11-16,1,2,"5,3-5,8",2,Padina fernandeziana,na,,na,5,,5,na,,,,
652,1,foliose,exposed,El Frances,shallow,Catalina,06-11-16,1,3,"5,3-5,8",1,Dictyota phlyctaenodes,na,,na,10,,10,na,1,,,
653,1,foliose,exposed,El Frances,shallow,Catalina,06-11-16,1,3,"5,3-5,8",2,Haliptilon sp.,na,,na,1,,1,na,1,,,
654,1,foliose,exposed,El Frances,shallow,Catalina,06-11-16,1,3,"5,3-5,8",2,Colpomenia sinuosa,na,,na,,,#¡DIV/0!,na,,,,
655,1,foliose,exposed,El Frances,shallow,Catalina,06-11-16,1,4,"5,3-5,8",1,Padina fernandeziana,na,,na,15,,15,na,4,,,
656,1,foliose,exposed,El Frances,shallow,Catalina,06-11-16,1,4,"5,3-5,8",2,Padina fernandeziana,na,,na,3,,3,na,1,,,
657,1,foliose,exposed,El Frances,shallow,Catalina,06-11-16,2,1,"4,8-5,6",1,Dictyota phlyctaenodes,na,,na,15,,15,na,2,,,
658,1,foliose,exposed,El Frances,shallow,Catalina,06-11-16,2,1,"4,8-5,6",1,Padina fernandeziana,na,,na,5,,5,na,,,,
659,1,foliose,exposed,El Frances,shallow,Catalina,06-11-16,2,1,"4,8-5,6",2,Dictyota phlyctaenodes,na,,na,20,,20,na,4,,,
660,1,foliose,exposed,El Frances,shallow,Catalina,06-11-16,2,1,"4,8-5,6",2,Dictyota phlyctaenodes,na,,na,30,,30,na,,,,
661,1,foliose,exposed,El Frances,shallow,Catalina,06-11-16,2,1,"4,8-5,6",2,Padina fernandeziana,na,,na,15,,15,na,,,,
662,1,foliose,exposed,El Frances,shallow,Catalina,06-11-16,2,2,"4,8-5,6",1,Dictyota phlyctaenodes,na,,na,20,,20,na,2,,,
663,1,foliose,exposed,El Frances,shallow,Catalina,06-11-16,2,2,"4,8-5,6",1,Colpomenia sinuosa,na,,na,5,,5,na,,,,
664,1,foliose,exposed,El Frances,shallow,Catalina,06-11-16,2,2,"4,8-5,6",2,Haliptilon sp.,na,,na,1,,1,na,,,,
665,1,foliose,exposed,El Frances,shallow,Catalina,06-11-16,2,2,"4,8-5,6",2,Filamentous algae,na,,na,1,,1,na,-,,,
666,1,foliose,exposed,El Frances,shallow,Catalina,06-11-16,2,3,"4,8-5,6",1,Padina fernandeziana,na,,na,10,,10,na,,,,
667,1,foliose,exposed,El Frances,shallow,Catalina,06-11-16,2,3,"4,8-5,6",1,Dictyota phlyctaenodes,na,,na,10,,10,na,3,,,
668,1,foliose,exposed,El Frances,shallow,Catalina,06-11-16,2,3,"4,8-5,6",2,Dictyota phlyctaenodes,na,,na,20,,20,na,1,,,
669,1,foliose,exposed,El Frances,shallow,Catalina,06-11-16,2,4,"4,8-5,6",1,Dictyota phlyctaenodes,na,,na,20,,20,na,2,,,
670,1,foliose,exposed,El Frances,shallow,Catalina,06-11-16,2,4,"4,8-5,6",1,Haliptilon sp.,na,,na,8,,8,na,,,,
671,1,foliose,exposed,El Frances,shallow,Catalina,06-11-16,2,4,"4,8-5,6",1,Padina fernandeziana,na,,na,8,,8,na,,,,
672,1,foliose,exposed,El Frances,shallow,Catalina,06-11-16,2,4,"4,8-5,6",2,Dictyota phlyctaenodes,na,,na,20,,20,na,4,,,
673,1,foliose,exposed,El Frances,shallow,Catalina,06-11-16,2,4,"4,8-5,6",2,Padina fernandeziana,na,,na,10,,10,na,,,,
674,1,foliose,exposed,El Frances,shallow,Catalina,06-11-16,3,1,"3,8-4,5",1,Crustose algae,na,,na,1,,1,na,-,,,
675,1,foliose,exposed,El Frances,shallow,Catalina,06-11-16,3,1,"3,8-4,5",2,Crustose algae,na,,na,1,,1,na,-,,,
676,1,foliose,exposed,El Frances,shallow,Catalina,06-11-16,3,2,"3,8-4,5",1,Dictyota phlyctaenodes,na,,na,12,,12,na,2,,,
677,1,foliose,exposed,El Frances,shallow,Catalina,06-11-16,3,2,"3,8-4,5",1,Padina fernandeziana,na,,na,5,,5,na,,,,
678,1,foliose,exposed,El Frances,shallow,Catalina,06-11-16,3,2,"3,8-4,5",2,Colpomenia sinuosa,na,,na,5,,5,na,1,,,
679,1,foliose,exposed,El Frances,shallow,Catalina,06-11-16,3,3,"3,8-4,5",1,Padina fernandeziana,na,,na,5,,5,na,1,,,
680,1,foliose,exposed,El Frances,shallow,Catalina,06-11-16,3,3,"3,8-4,5",1,Dictyota phlyctaenodes,na,,na,8,,8,na,,,,
681,1,foliose,exposed,El Frances,shallow,Catalina,06-11-16,3,3,"3,8-4,5",2,Haliptilon sp.,na,,na,1,,1,na,-,,,
682,1,foliose,exposed,El Frances,shallow,Catalina,06-11-16,3,3,"3,8-4,5",2,Filamentous algae,na,,na,,,#¡DIV/0!,na,,,,
683,1,foliose,exposed,El Frances,shallow,Catalina,06-11-16,3,4,"3,8-4,5",1,Padina fernandeziana,na,,na,5,,5,na,4,,,
684,1,foliose,exposed,El Frances,shallow,Catalina,06-11-16,3,4,"3,8-4,5",1,Dictyota phlyctaenodes,na,,na,20,,20,na,,,,
685,1,foliose,exposed,El Frances,shallow,Catalina,06-11-16,3,4,"3,8-4,5",2,Haliptilon sp.,na,,na,5,,5,na,3,,,
686,1,foliose,exposed,Tres Puntas ,deep,Catalina,07-11-16,1,1,"13,1-13,3",1,Colpomenia sinuosa,na,,na,7,4,5.5,na,5,,,
