Series,Subset,Date,Season,Site,Latitude,Longitude,Transect,station,Temperature,Visbility,Depth,Replicate,Species,Phase,Size(cm),Abundance,no. stipes,Biomass,Holdfast Use,Blade Use ,Cover(%),Frondosity,
208,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,13,na,isacia conceptionis,na,11,1,na,,0,1,na,na,
209,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,13,na,isacia conceptionis,na,11,1,na,,0,1,na,na,
210,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,13,na,isacia conceptionis,na,11,1,na,,0,1,na,na,
211,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,13,na,isacia conceptionis,na,11,1,na,,0,1,na,na,
212,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,13,na,isacia conceptionis,na,11,1,na,,0,1,na,na,
213,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,13,na,isacia conceptionis,na,11,1,na,,0,1,na,na,
214,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,13,na,isacia conceptionis,na,11,1,na,,0,1,na,na,
215,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,13,na,isacia conceptionis,na,11,1,na,,0,1,na,na,
216,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,13,na,isacia conceptionis,na,11,1,na,,0,1,na,na,
217,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,13,na,isacia conceptionis,na,11,1,na,,0,1,na,na,
218,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,13,na,isacia conceptionis,na,11,1,na,,0,1,na,na,
219,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,13,na,isacia conceptionis,na,11,1,na,,0,1,na,na,
220,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,13,na,isacia conceptionis,na,11,1,na,,0,1,na,na,
221,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,13,na,isacia conceptionis,na,11,1,na,,0,1,na,na,
222,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,13,na,isacia conceptionis,na,11,1,na,,0,1,na,na,
223,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,13,na,isacia conceptionis,na,11,1,na,,0,1,na,na,
224,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,13,na,isacia conceptionis,na,11,1,na,,0,1,na,na,
225,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,13,na,isacia conceptionis,na,11,1,na,,0,1,na,na,
226,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,13,na,isacia conceptionis,na,11,1,na,,0,1,na,na,
227,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,13,na,isacia conceptionis,na,11,1,na,,0,1,na,na,
228,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,13,na,isacia conceptionis,na,11,1,na,,0,1,na,na,
229,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,13,na,isacia conceptionis,na,11,1,na,,0,1,na,na,
230,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,13,na,isacia conceptionis,na,11,1,na,,0,1,na,na,
231,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,13,na,isacia conceptionis,na,11,1,na,,0,1,na,na,
232,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,13,na,isacia conceptionis,na,11,1,na,,0,1,na,na,
233,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,13,na,isacia conceptionis,na,11,1,na,,0,1,na,na,
234,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,13,na,isacia conceptionis,na,11,1,na,,0,1,na,na,
235,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,13,na,isacia conceptionis,na,11,1,na,,0,1,na,na,
236,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,13,na,isacia conceptionis,na,11,1,na,,0,1,na,na,
237,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,13,na,isacia conceptionis,na,11,1,na,,0,1,na,na,
238,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,13,na,isacia conceptionis,na,11,1,na,,0,1,na,na,
239,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,13,na,isacia conceptionis,na,11,1,na,,0,1,na,na,
240,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,13,na,isacia conceptionis,na,11,1,na,,0,1,na,na,
241,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,13,na,isacia conceptionis,na,11,1,na,,0,1,na,na,
242,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,13,na,isacia conceptionis,na,11,1,na,,0,1,na,na,
243,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,13,na,isacia conceptionis,na,11,1,na,,0,1,na,na,
244,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,13,na,isacia conceptionis,na,11,1,na,,0,1,na,na,
245,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,13,na,scartichthys viridis,na,10,1,na,,0,0,na,na,
246,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,13,na,pinguipes chilensis,na,50,1,na,,0,1,na,na,
247,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,13,na,sebastes oculatus,na,30,1,na,,0,0,na,na,
248,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,13,na,cheilodactylus variegatus,na,20,1,na,,0,0,na,na,
249,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,13,na,chromis crusma,na,15,1,na,,0,0,na,na,
250,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,13,na,chromis crusma,na,15,1,na,,0,0,na,na,
251,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,13,na,chromis crusma,na,15,1,na,,0,0,na,na,
252,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,12.5,na,scartichthys viridis,na,8,1,na,,0,0,na,na,
253,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,12.5,na,isacia conceptionis,na,8,1,na,,0,1,na,na,
254,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,12.5,na,isacia conceptionis,na,8,1,na,,0,1,na,na,
255,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,12.5,na,isacia conceptionis,na,8,1,na,,0,1,na,na,
256,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,12.5,na,isacia conceptionis,na,8,1,na,,0,1,na,na,
257,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,12.5,na,isacia conceptionis,na,8,1,na,,0,1,na,na,
258,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,12.5,na,isacia conceptionis,na,8,1,na,,0,1,na,na,
259,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,12.5,na,isacia conceptionis,na,8,1,na,,0,1,na,na,
260,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,12.5,na,isacia conceptionis,na,8,1,na,,0,1,na,na,
261,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,12.5,na,isacia conceptionis,na,8,1,na,,0,1,na,na,
262,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,12.5,na,isacia conceptionis,na,8,1,na,,0,1,na,na,
263,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,12.5,na,isacia conceptionis,na,8,1,na,,0,1,na,na,
264,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,12.5,na,isacia conceptionis,na,8,1,na,,0,1,na,na,
265,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,12.5,na,isacia conceptionis,na,8,1,na,,0,1,na,na,
266,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,12.5,na,isacia conceptionis,na,8,1,na,,0,1,na,na,
267,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,12.5,na,isacia conceptionis,na,8,1,na,,0,1,na,na,
268,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,12.5,na,isacia conceptionis,na,8,1,na,,0,1,na,na,
269,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,12.5,na,isacia conceptionis,na,8,1,na,,0,1,na,na,
270,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,12.5,na,isacia conceptionis,na,8,1,na,,0,1,na,na,
271,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,12.5,na,isacia conceptionis,na,8,1,na,,0,1,na,na,
272,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,12.5,na,isacia conceptionis,na,8,1,na,,0,1,na,na,
273,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,12.5,na,isacia conceptionis,na,8,1,na,,0,1,na,na,
274,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,12.5,na,isacia conceptionis,na,8,1,na,,0,1,na,na,
275,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,12.5,na,isacia conceptionis,na,8,1,na,,0,1,na,na,
276,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,12.5,na,isacia conceptionis,na,8,1,na,,0,1,na,na,
277,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,12.5,na,isacia conceptionis,na,8,1,na,,0,1,na,na,
278,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,12.5,na,isacia conceptionis,na,8,1,na,,0,1,na,na,
279,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,12.5,na,isacia conceptionis,na,8,1,na,,0,1,na,na,
280,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,12.5,na,isacia conceptionis,na,8,1,na,,0,1,na,na,
281,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,12.5,na,isacia conceptionis,na,8,1,na,,0,1,na,na,
282,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,12.5,na,isacia conceptionis,na,8,1,na,,0,1,na,na,
283,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,12.5,na,isacia conceptionis,na,8,1,na,,0,1,na,na,
284,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,12.5,na,isacia conceptionis,na,8,1,na,,0,1,na,na,
285,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,12.5,na,isacia conceptionis,na,8,1,na,,0,1,na,na,
286,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,12.5,na,isacia conceptionis,na,8,1,na,,0,1,na,na,
287,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,12.5,na,isacia conceptionis,na,8,1,na,,0,1,na,na,
288,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,12.5,na,isacia conceptionis,na,8,1,na,,0,1,na,na,
289,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,12.5,na,isacia conceptionis,na,8,1,na,,0,1,na,na,
290,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,12.5,na,isacia conceptionis,na,8,1,na,,0,1,na,na,
291,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,12.5,na,isacia conceptionis,na,8,1,na,,0,1,na,na,
292,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,12.5,na,isacia conceptionis,na,8,1,na,,0,1,na,na,
293,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,12.5,na,isacia conceptionis,na,8,1,na,,0,1,na,na,
294,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,12.5,na,isacia conceptionis,na,8,1,na,,0,1,na,na,
295,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,12.5,na,isacia conceptionis,na,8,1,na,,0,1,na,na,
296,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,12.5,na,isacia conceptionis,na,8,1,na,,0,1,na,na,
297,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,12.5,na,isacia conceptionis,na,8,1,na,,0,1,na,na,
298,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,12.5,na,isacia conceptionis,na,8,1,na,,0,1,na,na,
299,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,12.5,na,isacia conceptionis,na,8,1,na,,0,1,na,na,
300,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,12.5,na,isacia conceptionis,na,8,1,na,,0,1,na,na,
301,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,12.5,na,isacia conceptionis,na,8,1,na,,0,1,na,na,
302,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,12.5,na,isacia conceptionis,na,8,1,na,,0,1,na,na,
303,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,12.5,na,isacia conceptionis,na,8,1,na,,0,1,na,na,
304,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,12.5,na,isacia conceptionis,na,8,1,na,,0,1,na,na,
305,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,12.5,na,isacia conceptionis,na,8,1,na,,0,1,na,na,
306,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,12.5,na,isacia conceptionis,na,8,1,na,,0,1,na,na,
307,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,12.5,na,isacia conceptionis,na,8,1,na,,0,1,na,na,
308,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,12.5,na,isacia conceptionis,na,8,1,na,,0,1,na,na,
309,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,12.5,na,isacia conceptionis,na,8,1,na,,0,1,na,na,
310,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,12.5,na,isacia conceptionis,na,8,1,na,,0,1,na,na,
311,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,12.5,na,isacia conceptionis,na,8,1,na,,0,1,na,na,
312,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,12.5,na,isacia conceptionis,na,8,1,na,,0,1,na,na,
313,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,12.5,na,isacia conceptionis,na,8,1,na,,0,1,na,na,
314,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,12.5,na,isacia conceptionis,na,8,1,na,,0,1,na,na,
315,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,12.5,na,isacia conceptionis,na,8,1,na,,0,1,na,na,
316,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,12.5,na,isacia conceptionis,na,8,1,na,,0,1,na,na,
317,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,12.5,na,isacia conceptionis,na,8,1,na,,0,1,na,na,
318,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,12.5,na,isacia conceptionis,na,8,1,na,,0,1,na,na,
319,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,12.5,na,isacia conceptionis,na,8,1,na,,0,1,na,na,
320,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,12.5,na,isacia conceptionis,na,8,1,na,,0,1,na,na,
321,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,12.5,na,isacia conceptionis,na,8,1,na,,0,1,na,na,
322,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,12.5,na,isacia conceptionis,na,8,1,na,,0,1,na,na,
323,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,12.5,na,isacia conceptionis,na,8,1,na,,0,1,na,na,
324,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,12.5,na,isacia conceptionis,na,8,1,na,,0,1,na,na,
325,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,12.5,na,isacia conceptionis,na,8,1,na,,0,1,na,na,
326,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,12.5,na,isacia conceptionis,na,8,1,na,,0,1,na,na,
327,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,12.5,na,isacia conceptionis,na,8,1,na,,0,1,na,na,
328,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,12.5,na,isacia conceptionis,na,8,1,na,,0,1,na,na,
329,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,12.5,na,isacia conceptionis,na,8,1,na,,0,1,na,na,
330,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,12.5,na,isacia conceptionis,na,8,1,na,,0,1,na,na,
331,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,12.5,na,isacia conceptionis,na,8,1,na,,0,1,na,na,
332,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,12.5,na,isacia conceptionis,na,8,1,na,,0,1,na,na,
333,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,12.5,na,pinguipes chilensis,na,40,1,na,,0,0,na,na,
334,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,12.5,na,chromis crusma,na,10,1,na,,0,0,na,na,
335,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,12.5,na,chromis crusma,na,10,1,na,,0,0,na,na,
336,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,12.5,na,chromis crusma,na,10,1,na,,0,0,na,na,
337,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,12.5,na,chromis crusma,na,10,1,na,,0,0,na,na,
338,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,12.5,na,chromis crusma,na,10,1,na,,0,0,na,na,
339,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,12.5,na,chromis crusma,na,10,1,na,,0,0,na,na,
340,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,12.5,na,chromis crusma,na,10,1,na,,0,0,na,na,
341,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,12.5,na,chromis crusma,na,15,1,na,,0,0,na,na,
342,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,12.5,na,chromis crusma,na,15,1,na,,0,0,na,na,
343,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,12.5,na,chromis crusma,na,15,1,na,,0,0,na,na,
344,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,12.5,na,chromis crusma,na,15,1,na,,0,0,na,na,
345,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,12.5,na,chromis crusma,na,15,1,na,,0,0,na,na,
346,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,12.5,na,chromis crusma,na,15,1,na,,0,0,na,na,
347,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,12.5,na,chromis crusma,na,15,1,na,,0,0,na,na,
348,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,12.5,na,chromis crusma,na,15,1,na,,0,0,na,na,
349,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,12.5,na,chromis crusma,na,15,1,na,,0,0,na,na,
350,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,12.5,na,chromis crusma,na,15,1,na,,0,0,na,na,
351,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,12.5,na,Aplodactylus punctatus,na,25,1,na,,0,0,na,na,
352,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,12.5,na,Aplodactylus punctatus,na,25,1,na,,0,0,na,na,
353,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,12.5,na,Cheilodactylus variegatus,na,25,1,na,,0,0,na,na,
354,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,12.5,na,Cheilodactylus variegatus,na,25,1,na,,0,0,na,na,
355,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,10.9,na,Aplodactylus punctatus,na,15,1,na,,1,0,na,na,
356,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,10.9,na,Aplodactylus punctatus,na,15,1,na,,1,0,na,na,
357,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,10.9,na,Aplodactylus punctatus,na,15,1,na,,1,0,na,na,
358,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,10.9,na,Aplodactylus punctatus,na,5,1,na,,0,1,na,na,
359,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,10.9,na,Chromis crusma,na,15,1,na,,0,0,na,na,
360,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,10.9,na,Chromis crusma,na,15,1,na,,0,0,na,na,
361,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,10.9,na,Chromis crusma,na,15,1,na,,0,0,na,na,
362,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,10.9,na,Chromis crusma,na,15,1,na,,0,0,na,na,
363,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,10.9,na,Chromis crusma,na,15,1,na,,0,0,na,na,
364,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,10.9,na,Chromis crusma,na,15,1,na,,0,0,na,na,
365,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,10.9,na,Chromis crusma,na,15,1,na,,0,0,na,na,
366,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,10.9,na,Chromis crusma,na,15,1,na,,0,0,na,na,
367,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,10.9,na,Chromis crusma,na,15,1,na,,0,0,na,na,
368,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,10.9,na,Chromis crusma,na,15,1,na,,0,0,na,na,
369,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,10.9,na,Chromis crusma,na,10,1,na,,0,0,na,na,
370,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,10.9,na,Isacia conceptionis,na,12,1,na,,0,1,na,na,
371,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,10.5,na,Aplodactylus punctatus,na,40,1,na,,0,1,na,na,
372,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,10.5,na,Aplodactylus punctatus,na,35,1,na,,1,0,na,na,
373,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,10.5,na,Aplodactylus punctatus,na,40,1,na,,0,0,na,na,
374,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,10.5,na,Aplodactylus punctatus,na,40,1,na,,0,0,na,na,
375,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,10.5,na,Aplodactylus punctatus,na,30,1,na,,0,0,na,na,
376,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,10.5,na,Cheilodactylus variegatus,na,25,1,na,,0,0,na,na,
377,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,10.5,na,Cheilodactylus variegatus,na,25,1,na,,0,0,na,na,
378,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,10.5,na,Cheilodactylus variegatus,na,20,1,na,,0,0,na,na,
379,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,10.5,na,Cheilodactylus variegatus,na,30,1,na,,0,0,na,na,
380,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,10.5,na,Chromis crusma,na,10,1,na,,0,0,na,na,
381,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,10.5,na,Chromis crusma,na,10,1,na,,0,0,na,na,
382,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,10.5,na,Chromis crusma,na,10,1,na,,0,0,na,na,
383,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,10.5,na,Pinguipes chilensis,na,50,1,na,,0,0,na,na,
384,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,10.5,na,Chromis crusma,na,15,1,na,,0,0,na,na,
385,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,10.5,na,Chromis crusma,na,15,1,na,,0,0,na,na,
386,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,11,na,Aplodactylus punctatus,na,35,1,na,,0,1,na,na,
387,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,11,na,Aplodactylus punctatus,na,30,1,na,,1,0,na,na,
388,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,11,na,Chromis crusma,na,10,1,na,,0,0,na,na,
389,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,11,na,Aplodactylus punctatus,na,40,1,na,,0,0,na,na,
390,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,11,na,Aplodactylus punctatus,na,35,1,na,,0,0,na,na,
391,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,10.1,na,Cheilodactylus variegatus,na,40,1,na,,0,0,na,na,
392,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,10.1,na,Cheilodactylus variegatus,na,50,1,na,,0,0,na,na,
393,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,10.1,na,Cheilodactylus variegatus,na,30,1,na,,0,0,na,na,
394,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,10.1,na,cheilodactylus variegatus,na,40,1,na,,0,0,na,na,
395,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,10.1,na,cheilodactylus variegatus,na,35,1,na,,0,0,na,na,
396,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,10.1,na,scartichthys viridis,na,20,1,na,,0,0,na,na,
397,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,10.1,na,aplodactylus punctatus,na,15,1,na,,0,1,na,na,
398,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,10.1,na,aplodactylus punctatus,na,35,1,na,,1,0,na,na,
399,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,10.1,na,aplodactylus punctatus,na,10,1,na,,0,1,na,na,
400,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,10.1,na,chromis crusma,na,10,1,na,,0,0,na,na,
401,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,10.1,na,chromis crusma,na,10,1,na,,0,0,na,na,
402,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,10.1,na,chromis crusma,na,10,1,na,,0,0,na,na,
403,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,10.1,na,chromis crusma,na,10,1,na,,0,0,na,na,
404,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,10.1,na,chromis crusma,na,10,1,na,,0,0,na,na,
405,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,10.1,na,chromis crusma,na,10,1,na,,0,0,na,na,
406,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,10.1,na,chromis crusma,na,10,1,na,,0,0,na,na,
407,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,10.1,na,chromis crusma,na,10,1,na,,0,0,na,na,
408,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,10.1,na,chromis crusma,na,10,1,na,,0,0,na,na,
409,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,10.1,na,chromis crusma,na,10,1,na,,0,0,na,na,
410,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,10.1,na,chromis crusma,na,10,1,na,,0,0,na,na,
411,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,10.1,na,chromis crusma,na,10,1,na,,0,0,na,na,
412,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,10.1,na,chromis crusma,na,15,1,na,,0,0,na,na,
413,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,10.1,na,chromis crusma,na,15,1,na,,0,0,na,na,
414,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,8.3,na,aplodactylus punctatus,na,45,1,na,,1,0,na,na,
415,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,8.3,na,isacia conceptionis,na,8,1,na,,0,0,na,na,
416,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,8.3,na,isacia conceptionis,na,8,1,na,,0,0,na,na,
417,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,8.3,na,isacia conceptionis,na,8,1,na,,0,0,na,na,
418,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,8.3,na,isacia conceptionis,na,8,1,na,,0,0,na,na,
419,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,8.3,na,isacia conceptionis,na,8,1,na,,0,0,na,na,
420,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,8.3,na,isacia conceptionis,na,8,1,na,,0,0,na,na,
421,Fish,11-02-15,summer2014,Quintay,,,2,na,13,10,8.3,na,isacia conceptionis,na,8,1,na,,0,0,na,na,
